customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
2,121,dantkanti,2023-05-25,2,100,2,200,UPI
13,123,refined oil,2023-05-25,9,110,1,110,cash
7,121,quaker oats,2023-05-25,2,212,5,1060,cash
10,121,quaker oats,2023-05-25,2,212,1,212,cash
1,121,nutrella,2023-05-25,1,40,2,80,cash
14,121,refined oil,2023-05-25,1,110,10,1100,UPI
7,123,clinic plus,2023-05-25,8,1.5,1,1.5,cash
18,121,nutrella,2023-05-25,1,40,2,80,UPI
1,123,sugar,2023-05-25,7,50,6,300,UPI
15,121,dantkanti,2023-05-25,3,100,10,1000,UPI
16,122,besan,2023-05-25,4,52,7,364,cash
19,122,dantkanti,2023-05-25,6,100,6,600,cash
10,121,sugar,2023-05-25,1,50,8,400,UPI
7,122,maida,2023-05-25,5,20,3,60,UPI
8,123,dantkanti,2023-05-25,8,100,9,900,cash
13,123,dantkanti,2023-05-25,8,100,3,300,UPI
9,123,dantkanti,2023-05-25,9,100,4,400,cash
20,121,besan,2023-05-25,1,52,5,260,UPI
4,122,nutrella,2023-05-25,5,40,8,320,UPI
7,121,besan,2023-05-25,1,52,6,312,cash
3,121,nutrella,2023-05-25,3,40,5,200,UPI
3,121,dantkanti,2023-05-25,2,100,9,900,UPI
16,122,besan,2023-05-25,5,52,8,416,cash
16,122,dantkanti,2023-05-25,6,100,7,700,UPI
15,123,clinic plus,2023-05-25,7,1.5,2,3.0,UPI
13,121,sugar,2023-05-25,3,50,5,250,UPI
2,123,besan,2023-05-25,7,52,8,416,cash
18,123,sugar,2023-05-25,8,50,8,400,UPI
8,122,sugar,2023-05-25,6,50,3,150,UPI
3,122,besan,2023-05-25,4,52,2,104,UPI
10,123,quaker oats,2023-05-25,9,212,8,1696,cash
11,123,sugar,2023-05-25,8,50,4,200,UPI
9,122,maida,2023-05-25,6,20,4,80,cash
18,121,nutrella,2023-05-25,2,40,10,400,UPI
18,122,nutrella,2023-05-25,6,40,9,360,cash
9,122,refined oil,2023-05-25,4,110,5,550,cash
9,122,quaker oats,2023-05-25,4,212,10,2120,UPI
5,123,quaker oats,2023-05-25,9,212,1,212,cash
2,123,refined oil,2023-05-25,7,110,10,1100,cash
2,123,quaker oats,2023-05-25,7,212,7,1484,UPI
2,123,nutrella,2023-05-25,9,40,9,360,UPI
15,122,dantkanti,2023-05-25,5,100,9,900,cash
15,122,nutrella,2023-05-25,5,40,6,240,UPI
2,121,maida,2023-05-25,2,20,7,140,UPI
5,123,sugar,2023-05-25,8,50,2,100,cash
11,121,maida,2023-05-25,1,20,10,200,cash
10,122,quaker oats,2023-05-25,5,212,3,636,UPI
2,122,nutrella,2023-05-25,6,40,1,40,UPI
15,123,dantkanti,2023-05-25,8,100,6,600,cash
18,123,dantkanti,2023-05-25,7,100,8,800,cash
7,122,dantkanti,2023-05-25,6,100,1,100,UPI
4,121,maida,2023-05-25,3,20,3,60,UPI
18,122,refined oil,2023-05-25,5,110,6,660,UPI
3,121,clinic plus,2023-05-25,1,1.5,7,10.5,cash
6,123,quaker oats,2023-05-25,7,212,7,1484,cash
18,122,besan,2023-05-25,6,52,2,104,cash
17,122,refined oil,2023-05-25,4,110,3,330,UPI
18,122,besan,2023-05-25,4,52,8,416,UPI
3,122,nutrella,2023-05-25,4,40,8,320,UPI
2,122,clinic plus,2023-05-25,5,1.5,2,3.0,UPI
7,122,quaker oats,2023-05-25,4,212,7,1484,UPI
5,121,quaker oats,2023-05-25,2,212,4,848,cash
18,123,refined oil,2023-05-25,7,110,5,550,cash
20,121,dantkanti,2023-05-25,3,100,4,400,UPI
6,121,nutrella,2023-05-25,2,40,5,200,cash
19,123,sugar,2023-05-25,8,50,7,350,cash
13,122,maida,2023-05-25,6,20,5,100,cash
2,121,dantkanti,2023-05-25,2,100,10,1000,cash
7,122,besan,2023-05-25,5,52,9,468,UPI
17,122,sugar,2023-05-25,5,50,3,150,cash
4,123,nutrella,2023-05-25,7,40,8,320,cash
6,121,clinic plus,2023-05-25,3,1.5,10,15.0,cash
7,122,clinic plus,2023-05-25,5,1.5,2,3.0,UPI
11,121,nutrella,2023-05-25,1,40,5,200,cash
4,123,quaker oats,2023-05-25,7,212,3,636,cash
11,121,besan,2023-05-25,1,52,4,208,UPI
10,121,quaker oats,2023-05-25,1,212,4,848,UPI
13,121,refined oil,2023-05-25,2,110,2,220,cash
9,123,besan,2023-05-25,9,52,3,156,cash
4,123,clinic plus,2023-05-25,9,1.5,2,3.0,cash
11,123,clinic plus,2023-05-25,7,1.5,5,7.5,cash
14,123,refined oil,2023-05-25,8,110,10,1100,UPI
5,123,refined oil,2023-05-25,9,110,6,660,cash
20,122,quaker oats,2023-05-25,6,212,1,212,cash
20,121,nutrella,2023-05-25,1,40,9,360,UPI
7,123,refined oil,2023-05-25,8,110,4,440,cash
19,122,clinic plus,2023-05-25,6,1.5,10,15.0,UPI
7,122,sugar,2023-05-25,4,50,10,500,UPI
1,122,quaker oats,2023-05-25,5,212,7,1484,cash
20,122,sugar,2023-05-25,5,50,2,100,UPI
14,123,maida,2023-05-25,7,20,6,120,cash
12,121,dantkanti,2023-05-25,1,100,2,200,UPI
13,121,clinic plus,2023-05-25,1,1.5,2,3.0,cash
14,122,besan,2023-05-25,4,52,3,156,cash
19,123,nutrella,2023-05-25,8,40,5,200,UPI
6,123,clinic plus,2023-05-25,9,1.5,3,4.5,UPI
10,123,nutrella,2023-05-25,8,40,8,320,UPI
13,123,besan,2023-05-25,7,52,10,520,cash
19,123,clinic plus,2023-05-25,7,1.5,4,6.0,UPI
17,121,refined oil,2023-05-25,3,110,2,220,cash
3,121,sugar,2023-05-25,2,50,7,350,UPI
15,121,besan,2023-05-25,2,52,6,312,UPI
9,123,maida,2023-05-25,9,20,4,80,UPI
17,121,besan,2023-05-25,3,52,10,520,cash
9,121,dantkanti,2023-05-25,3,100,1,100,cash
5,122,dantkanti,2023-05-25,5,100,5,500,UPI
15,123,nutrella,2023-05-25,9,40,3,120,UPI
7,122,nutrella,2023-05-25,5,40,5,200,UPI
5,121,clinic plus,2023-05-25,2,1.5,1,1.5,cash
13,123,refined oil,2023-05-25,8,110,2,220,UPI
9,122,dantkanti,2023-05-25,5,100,6,600,cash
4,122,clinic plus,2023-05-25,4,1.5,5,7.5,cash
8,123,besan,2023-05-25,8,52,4,208,UPI
12,122,besan,2023-05-25,6,52,10,520,UPI
16,121,dantkanti,2023-05-25,2,100,10,1000,UPI
9,121,quaker oats,2023-05-25,3,212,1,212,UPI
18,123,refined oil,2023-05-25,9,110,10,1100,cash
18,121,dantkanti,2023-05-25,2,100,10,1000,UPI
2,123,sugar,2023-05-25,7,50,10,500,cash
20,122,quaker oats,2023-05-25,4,212,5,1060,UPI
12,121,besan,2023-05-25,3,52,6,312,UPI
14,121,quaker oats,2023-05-25,1,212,6,1272,UPI
7,123,dantkanti,2023-05-25,7,100,1,100,UPI
12,121,refined oil,2023-05-25,1,110,8,880,UPI
9,121,dantkanti,2023-05-25,1,100,9,900,UPI
5,121,sugar,2023-05-25,2,50,5,250,UPI
15,121,clinic plus,2023-05-25,2,1.5,3,4.5,cash
17,123,besan,2023-05-25,9,52,9,468,cash
18,123,nutrella,2023-05-25,7,40,8,320,cash
17,121,maida,2023-05-25,2,20,7,140,UPI
15,122,refined oil,2023-05-25,6,110,7,770,cash
2,121,refined oil,2023-05-25,1,110,3,330,UPI
14,123,quaker oats,2023-05-25,8,212,5,1060,cash
20,122,maida,2023-05-25,6,20,9,180,UPI
14,121,refined oil,2023-05-25,3,110,9,990,cash
19,121,besan,2023-05-25,1,52,1,52,UPI
15,121,quaker oats,2023-05-25,2,212,2,424,UPI
3,122,clinic plus,2023-05-25,4,1.5,4,6.0,cash
1,121,clinic plus,2023-05-25,1,1.5,8,12.0,UPI
17,123,quaker oats,2023-05-25,9,212,10,2120,cash
9,123,maida,2023-05-25,9,20,10,200,UPI
12,122,dantkanti,2023-05-25,6,100,8,800,UPI
17,121,refined oil,2023-05-25,1,110,1,110,UPI
19,122,sugar,2023-05-25,6,50,5,250,cash
12,121,refined oil,2023-05-25,3,110,2,220,cash
1,121,clinic plus,2023-05-25,2,1.5,10,15.0,cash
19,121,besan,2023-05-25,2,52,8,416,UPI
4,122,maida,2023-05-25,5,20,6,120,UPI
20,122,refined oil,2023-05-25,5,110,9,990,cash
2,121,maida,2023-05-25,3,20,2,40,UPI
6,123,refined oil,2023-05-25,9,110,9,990,UPI
19,123,maida,2023-05-25,7,20,5,100,UPI
10,123,maida,2023-05-25,8,20,10,200,cash
12,123,besan,2023-05-25,8,52,9,468,UPI
11,122,clinic plus,2023-05-25,4,1.5,4,6.0,cash
1,123,dantkanti,2023-05-25,8,100,10,1000,UPI
5,123,quaker oats,2023-05-25,7,212,7,1484,UPI
5,122,clinic plus,2023-05-25,6,1.5,8,12.0,cash
12,123,sugar,2023-05-25,9,50,5,250,UPI
9,122,quaker oats,2023-05-25,4,212,6,1272,cash
11,123,sugar,2023-05-25,7,50,9,450,UPI
15,122,nutrella,2023-05-25,6,40,7,280,cash
17,121,refined oil,2023-05-25,2,110,9,990,UPI
13,122,sugar,2023-05-25,5,50,7,350,UPI
11,123,clinic plus,2023-05-25,7,1.5,2,3.0,UPI
8,121,sugar,2023-05-25,2,50,5,250,UPI
17,122,maida,2023-05-25,5,20,10,200,cash
12,122,clinic plus,2023-05-25,6,1.5,8,12.0,cash
12,122,nutrella,2023-05-25,5,40,4,160,UPI
11,121,quaker oats,2023-05-25,3,212,7,1484,UPI
8,121,dantkanti,2023-05-25,1,100,5,500,cash
14,121,quaker oats,2023-05-25,1,212,9,1908,UPI
5,121,sugar,2023-05-25,1,50,8,400,cash
10,122,clinic plus,2023-05-25,4,1.5,2,3.0,UPI
16,123,sugar,2023-05-25,8,50,8,400,cash
1,122,quaker oats,2023-05-25,4,212,10,2120,UPI
9,121,sugar,2023-05-25,2,50,9,450,cash
7,122,nutrella,2023-05-25,5,40,2,80,cash
13,123,clinic plus,2023-05-25,7,1.5,4,6.0,UPI
18,123,clinic plus,2023-05-25,8,1.5,8,12.0,cash
9,121,clinic plus,2023-05-25,2,1.5,3,4.5,cash
3,122,clinic plus,2023-05-25,4,1.5,9,13.5,cash
5,123,sugar,2023-05-25,9,50,2,100,UPI
17,123,maida,2023-05-25,8,20,4,80,cash
8,122,quaker oats,2023-05-25,6,212,10,2120,cash
16,121,quaker oats,2023-05-25,2,212,9,1908,cash
6,122,refined oil,2023-05-25,4,110,10,1100,UPI
4,123,nutrella,2023-05-25,8,40,5,200,UPI
11,122,maida,2023-05-25,4,20,6,120,UPI
6,122,sugar,2023-05-25,5,50,1,50,cash
8,121,sugar,2023-05-25,2,50,5,250,cash
6,122,dantkanti,2023-05-25,4,100,10,1000,cash
20,122,dantkanti,2023-05-25,4,100,5,500,UPI
10,121,quaker oats,2023-05-25,1,212,4,848,UPI
12,122,besan,2023-05-25,6,52,2,104,cash
18,123,nutrella,2023-05-25,9,40,1,40,UPI
10,123,clinic plus,2023-05-25,9,1.5,8,12.0,UPI
5,123,refined oil,2023-05-25,9,110,3,330,cash
3,122,dantkanti,2023-05-25,5,100,3,300,UPI
20,121,maida,2023-05-25,3,20,4,80,cash
12,121,dantkanti,2023-05-25,3,100,2,200,UPI
4,123,refined oil,2023-05-25,8,110,2,220,cash
5,121,dantkanti,2023-05-25,1,100,4,400,cash
7,123,sugar,2023-05-25,9,50,3,150,cash
10,122,nutrella,2023-05-25,5,40,1,40,cash
12,121,maida,2023-05-25,1,20,9,180,UPI
11,123,maida,2023-05-25,7,20,6,120,cash
12,121,quaker oats,2023-05-25,2,212,4,848,cash
6,121,clinic plus,2023-05-25,3,1.5,3,4.5,cash
15,121,refined oil,2023-05-25,3,110,10,1100,UPI
19,121,maida,2023-05-25,3,20,9,180,cash
15,123,besan,2023-05-25,7,52,10,520,UPI
1,122,quaker oats,2023-05-25,6,212,6,1272,UPI
7,121,nutrella,2023-05-25,1,40,2,80,UPI
5,121,refined oil,2023-05-25,2,110,1,110,UPI
12,121,dantkanti,2023-05-25,1,100,7,700,UPI
12,122,besan,2023-05-25,6,52,7,364,UPI
19,121,sugar,2023-05-25,1,50,4,200,UPI
20,123,refined oil,2023-05-25,9,110,10,1100,UPI
1,121,dantkanti,2023-05-25,2,100,7,700,UPI
9,121,besan,2023-05-25,1,52,2,104,cash
18,123,refined oil,2023-05-25,7,110,6,660,cash
17,122,refined oil,2023-05-25,5,110,8,880,UPI
2,121,quaker oats,2023-05-25,1,212,4,848,UPI
4,122,nutrella,2023-05-25,5,40,7,280,UPI
19,123,dantkanti,2023-05-25,7,100,7,700,cash
12,122,clinic plus,2023-05-25,4,1.5,9,13.5,cash
12,121,maida,2023-05-25,1,20,6,120,UPI
10,123,quaker oats,2023-05-25,8,212,6,1272,UPI
17,123,refined oil,2023-05-25,8,110,4,440,UPI
10,121,nutrella,2023-05-25,1,40,1,40,UPI
6,121,refined oil,2023-05-25,1,110,2,220,UPI
16,121,sugar,2023-05-25,1,50,4,200,cash
5,123,sugar,2023-05-25,9,50,1,50,cash
2,122,maida,2023-05-25,5,20,3,60,UPI
20,123,sugar,2023-05-25,8,50,6,300,UPI
3,123,maida,2023-05-25,9,20,5,100,cash
3,122,clinic plus,2023-05-25,6,1.5,3,4.5,cash
9,123,sugar,2023-05-25,9,50,5,250,UPI
9,123,dantkanti,2023-05-25,7,100,10,1000,cash
16,122,besan,2023-05-25,5,52,10,520,cash
3,121,quaker oats,2023-05-25,2,212,6,1272,cash
4,122,refined oil,2023-05-25,5,110,8,880,cash
14,122,maida,2023-05-25,4,20,2,40,UPI
1,122,besan,2023-05-25,6,52,1,52,cash
1,121,sugar,2023-05-25,3,50,3,150,cash
10,121,quaker oats,2023-05-25,1,212,10,2120,cash
10,122,maida,2023-05-25,5,20,10,200,cash
2,123,sugar,2023-05-25,8,50,10,500,cash
6,123,refined oil,2023-05-25,7,110,10,1100,cash
15,123,nutrella,2023-05-25,8,40,2,80,cash
1,123,sugar,2023-05-25,8,50,8,400,UPI
11,121,clinic plus,2023-05-25,3,1.5,9,13.5,cash
16,121,quaker oats,2023-05-25,1,212,3,636,cash
1,122,sugar,2023-05-25,5,50,2,100,UPI
2,123,maida,2023-05-25,7,20,9,180,cash
8,121,quaker oats,2023-05-25,1,212,9,1908,cash
3,123,maida,2023-05-25,9,20,7,140,UPI
12,122,maida,2023-05-25,6,20,5,100,cash
15,122,dantkanti,2023-05-25,6,100,9,900,UPI
15,121,clinic plus,2023-05-25,2,1.5,2,3.0,UPI
3,123,refined oil,2023-05-25,7,110,2,220,cash
12,123,quaker oats,2023-05-25,9,212,2,424,cash
10,122,clinic plus,2023-05-25,6,1.5,6,9.0,cash
2,122,clinic plus,2023-05-25,6,1.5,5,7.5,UPI
11,121,quaker oats,2023-05-25,2,212,6,1272,cash
13,121,besan,2023-05-25,1,52,8,416,cash
8,122,besan,2023-05-25,6,52,10,520,UPI
7,122,quaker oats,2023-05-25,5,212,1,212,UPI
9,121,clinic plus,2023-05-25,2,1.5,9,13.5,cash
19,122,maida,2023-05-25,6,20,6,120,cash
9,122,refined oil,2023-05-25,5,110,9,990,UPI
12,122,maida,2023-05-25,6,20,10,200,UPI
7,122,sugar,2023-05-25,6,50,10,500,UPI
8,123,clinic plus,2023-05-25,8,1.5,9,13.5,cash
5,122,nutrella,2023-05-25,5,40,7,280,UPI
15,121,maida,2023-05-25,2,20,5,100,UPI
11,122,nutrella,2023-05-25,6,40,8,320,cash
5,121,clinic plus,2023-05-25,2,1.5,4,6.0,UPI
13,123,quaker oats,2023-05-25,7,212,1,212,UPI
8,122,quaker oats,2023-05-25,5,212,5,1060,cash
19,123,refined oil,2023-05-25,7,110,5,550,cash
12,121,maida,2023-05-25,1,20,2,40,cash
4,122,nutrella,2023-05-25,4,40,10,400,UPI
15,123,nutrella,2023-05-25,9,40,7,280,UPI
6,121,sugar,2023-05-25,2,50,5,250,cash
1,121,sugar,2023-05-25,1,50,4,200,UPI
8,121,besan,2023-05-25,3,52,3,156,cash
1,122,clinic plus,2023-05-25,6,1.5,7,10.5,UPI
14,121,sugar,2023-05-25,3,50,4,200,cash
14,121,sugar,2023-05-25,3,50,2,100,UPI
9,122,nutrella,2023-05-25,6,40,6,240,cash
12,122,besan,2023-05-25,6,52,10,520,cash
7,123,quaker oats,2023-05-25,7,212,9,1908,UPI
16,121,nutrella,2023-05-25,1,40,8,320,cash
16,123,maida,2023-05-25,9,20,5,100,UPI
2,123,refined oil,2023-05-25,7,110,9,990,UPI
12,123,clinic plus,2023-05-25,9,1.5,3,4.5,UPI
5,121,dantkanti,2023-05-25,2,100,9,900,UPI
13,122,besan,2023-05-25,6,52,7,364,cash
17,121,sugar,2023-05-25,2,50,5,250,cash
5,122,sugar,2023-05-25,4,50,3,150,cash
15,123,refined oil,2023-05-25,8,110,8,880,cash
10,123,sugar,2023-05-25,7,50,4,200,UPI
14,123,besan,2023-05-25,8,52,7,364,UPI
2,123,sugar,2023-05-25,9,50,6,300,cash
19,123,dantkanti,2023-05-25,9,100,1,100,cash
6,123,refined oil,2023-05-25,9,110,9,990,UPI
14,121,quaker oats,2023-05-25,1,212,3,636,UPI
11,121,quaker oats,2023-05-25,3,212,10,2120,UPI
15,122,sugar,2023-05-25,6,50,7,350,UPI
12,123,clinic plus,2023-05-25,7,1.5,9,13.5,UPI
18,123,sugar,2023-05-25,8,50,9,450,UPI
17,123,quaker oats,2023-05-25,9,212,10,2120,cash
15,121,sugar,2023-05-25,1,50,8,400,cash
4,123,besan,2023-05-25,9,52,3,156,UPI
8,122,nutrella,2023-05-25,4,40,2,80,cash
14,121,refined oil,2023-05-25,1,110,8,880,UPI
5,122,quaker oats,2023-05-25,4,212,9,1908,UPI
2,121,sugar,2023-05-25,1,50,6,300,UPI
17,123,sugar,2023-05-25,9,50,2,100,cash
12,123,quaker oats,2023-05-25,8,212,8,1696,UPI
3,122,quaker oats,2023-05-25,5,212,2,424,UPI
2,121,clinic plus,2023-05-25,2,1.5,6,9.0,cash
6,123,nutrella,2023-05-25,7,40,2,80,UPI
8,123,clinic plus,2023-05-25,8,1.5,7,10.5,UPI
18,122,dantkanti,2023-05-25,6,100,5,500,UPI
7,122,refined oil,2023-05-25,4,110,9,990,UPI
7,121,dantkanti,2023-05-25,2,100,10,1000,UPI
20,121,nutrella,2023-05-25,1,40,1,40,UPI
3,121,quaker oats,2023-05-25,2,212,10,2120,UPI
1,122,nutrella,2023-05-25,6,40,6,240,cash
9,121,maida,2023-05-25,2,20,10,200,cash
8,122,clinic plus,2023-05-25,5,1.5,2,3.0,cash
10,121,maida,2023-05-25,3,20,9,180,UPI
8,121,sugar,2023-05-25,3,50,4,200,cash
7,123,clinic plus,2023-05-25,9,1.5,1,1.5,cash
4,123,dantkanti,2023-05-25,9,100,5,500,UPI
17,121,refined oil,2023-05-25,3,110,5,550,UPI
12,121,maida,2023-05-25,2,20,7,140,UPI
3,122,maida,2023-05-25,4,20,2,40,cash
1,121,maida,2023-05-25,2,20,10,200,cash
6,121,maida,2023-05-25,1,20,8,160,UPI
6,122,dantkanti,2023-05-25,5,100,4,400,UPI
15,122,besan,2023-05-25,5,52,3,156,cash
2,122,maida,2023-05-25,5,20,3,60,cash
17,123,clinic plus,2023-05-25,8,1.5,1,1.5,UPI
10,123,refined oil,2023-05-25,7,110,3,330,cash
1,121,dantkanti,2023-05-25,3,100,4,400,cash
2,121,refined oil,2023-05-25,1,110,3,330,cash
9,121,besan,2023-05-25,2,52,2,104,cash
1,123,sugar,2023-05-25,8,50,2,100,UPI
16,122,besan,2023-05-25,6,52,10,520,UPI
14,122,quaker oats,2023-05-25,6,212,6,1272,UPI
17,123,dantkanti,2023-05-25,7,100,4,400,UPI
15,121,quaker oats,2023-05-25,2,212,7,1484,UPI
7,121,maida,2023-05-25,2,20,10,200,UPI
16,122,nutrella,2023-05-25,5,40,5,200,UPI
4,122,quaker oats,2023-05-25,4,212,10,2120,UPI
19,122,quaker oats,2023-05-25,6,212,10,2120,cash
20,123,besan,2023-05-25,7,52,1,52,cash
4,121,dantkanti,2023-05-25,3,100,2,200,UPI
12,121,sugar,2023-05-25,1,50,9,450,UPI
15,122,besan,2023-05-25,4,52,10,520,UPI
19,122,dantkanti,2023-05-25,5,100,1,100,UPI
16,122,clinic plus,2023-05-25,4,1.5,10,15.0,UPI
16,121,clinic plus,2023-05-25,2,1.5,9,13.5,cash
10,123,dantkanti,2023-05-25,7,100,7,700,cash
18,121,nutrella,2023-05-25,1,40,10,400,cash
6,123,dantkanti,2023-05-25,7,100,7,700,cash
16,123,quaker oats,2023-05-25,9,212,1,212,cash
19,123,besan,2023-05-25,7,52,10,520,cash
7,121,dantkanti,2023-05-25,1,100,10,1000,UPI
1,121,sugar,2023-05-25,1,50,8,400,UPI
11,123,besan,2023-05-25,8,52,10,520,UPI
14,123,sugar,2023-05-25,7,50,3,150,UPI
3,123,dantkanti,2023-05-25,7,100,6,600,UPI
19,121,maida,2023-05-25,3,20,9,180,UPI
12,123,nutrella,2023-05-25,7,40,6,240,UPI
17,123,quaker oats,2023-05-25,8,212,1,212,UPI
2,121,quaker oats,2023-05-25,2,212,10,2120,UPI
17,122,nutrella,2023-05-25,6,40,5,200,cash
9,123,maida,2023-05-25,7,20,8,160,UPI
5,123,clinic plus,2023-05-25,9,1.5,6,9.0,cash
18,122,clinic plus,2023-05-25,6,1.5,9,13.5,cash
16,122,besan,2023-05-25,6,52,3,156,cash
12,121,quaker oats,2023-05-25,3,212,8,1696,UPI
5,123,besan,2023-05-25,7,52,7,364,cash
3,121,dantkanti,2023-05-25,2,100,3,300,UPI
18,123,besan,2023-05-25,8,52,5,260,cash
17,121,clinic plus,2023-05-25,2,1.5,4,6.0,UPI
11,122,refined oil,2023-05-25,4,110,5,550,cash
16,123,clinic plus,2023-05-25,8,1.5,4,6.0,cash
17,123,quaker oats,2023-05-25,7,212,6,1272,cash
18,121,sugar,2023-05-25,2,50,7,350,cash
2,122,quaker oats,2023-05-25,5,212,4,848,UPI
9,121,maida,2023-05-25,1,20,2,40,UPI
20,121,refined oil,2023-05-25,3,110,5,550,UPI
3,122,quaker oats,2023-05-25,6,212,5,1060,cash
2,123,clinic plus,2023-05-25,9,1.5,3,4.5,UPI
15,123,refined oil,2023-05-25,8,110,3,330,UPI
12,122,clinic plus,2023-05-25,5,1.5,9,13.5,cash
20,121,nutrella,2023-05-25,2,40,9,360,UPI
16,123,nutrella,2023-05-25,7,40,4,160,UPI
8,121,clinic plus,2023-05-25,3,1.5,1,1.5,cash
9,122,quaker oats,2023-05-25,6,212,2,424,UPI
5,122,refined oil,2023-05-25,6,110,4,440,UPI
6,122,nutrella,2023-05-25,6,40,5,200,UPI
12,123,sugar,2023-05-25,8,50,10,500,cash
1,123,besan,2023-05-25,9,52,4,208,UPI
1,123,refined oil,2023-05-25,7,110,2,220,cash
2,123,sugar,2023-05-25,8,50,2,100,cash
17,121,dantkanti,2023-05-25,3,100,5,500,cash
19,122,refined oil,2023-05-25,5,110,4,440,cash
5,122,nutrella,2023-05-25,4,40,10,400,cash
5,121,maida,2023-05-25,1,20,9,180,cash
13,123,maida,2023-05-25,8,20,7,140,cash
8,122,nutrella,2023-05-25,4,40,3,120,UPI
3,123,maida,2023-05-25,8,20,1,20,cash
14,121,besan,2023-05-25,1,52,7,364,UPI
17,123,dantkanti,2023-05-25,8,100,5,500,cash
9,122,clinic plus,2023-05-25,6,1.5,10,15.0,cash
3,121,quaker oats,2023-05-25,1,212,9,1908,UPI
10,122,sugar,2023-05-25,4,50,7,350,UPI
15,123,refined oil,2023-05-25,8,110,9,990,cash
20,122,refined oil,2023-05-25,6,110,6,660,cash
11,121,refined oil,2023-05-25,3,110,4,440,UPI
6,123,maida,2023-05-25,9,20,8,160,cash
15,123,sugar,2023-05-25,7,50,5,250,cash
14,123,clinic plus,2023-05-25,9,1.5,7,10.5,UPI
15,121,dantkanti,2023-05-25,2,100,8,800,cash
7,121,quaker oats,2023-05-25,3,212,10,2120,cash
8,122,clinic plus,2023-05-25,6,1.5,10,15.0,UPI
15,123,maida,2023-05-25,7,20,7,140,UPI
5,121,refined oil,2023-05-25,1,110,5,550,cash
15,123,quaker oats,2023-05-25,8,212,2,424,cash
14,123,besan,2023-05-25,7,52,2,104,UPI
1,123,besan,2023-05-25,7,52,3,156,UPI
14,122,sugar,2023-05-25,6,50,8,400,UPI
3,121,besan,2023-05-25,3,52,8,416,cash
17,123,refined oil,2023-05-25,8,110,9,990,UPI
10,122,quaker oats,2023-05-25,6,212,5,1060,UPI
9,122,maida,2023-05-25,6,20,10,200,UPI
14,123,nutrella,2023-05-25,9,40,10,400,UPI
3,123,sugar,2023-05-25,8,50,7,350,cash
13,121,quaker oats,2023-05-25,2,212,4,848,UPI
18,122,clinic plus,2023-05-25,5,1.5,1,1.5,UPI
12,121,sugar,2023-05-25,2,50,8,400,cash
11,122,refined oil,2023-05-25,6,110,5,550,cash
16,123,besan,2023-05-25,8,52,6,312,UPI
